,Time (s),Speed (km/h),Normalized current (A)
483,483,55.6833024,-0.22031068414075144
484,484,53.108352,-0.11851964697303452
485,485,46.9928448,-0.2908391853076563
486,486,35.8883712,-0.45143071303619836
487,487,28.4853888,-0.23107446709008123
488,488,27.8416512,-0.00675621623221508
489,489,22.530816,-0.1271681722613562
490,490,16.09344,-0.11979664250768345
491,491,9.656064,-0.07954145408144979
492,492,3.218688,-0.039048701454819756
493,493,0.0,-0.0031887019926239196
494,494,0.0,0.0016316081256286972
495,495,0.0,0.0016318669325303637
496,496,0.0,0.001632101202276366
497,497,0.0,0.0016323132570576521
498,498,0.0,0.001632505200385363
499,499,0.0,0.0016326789374926044
500,500,0.0,0.0016328361938665896
501,501,0.3218688,0.0017106908156584509
502,502,7.0811136,0.04104098192300873
503,503,16.2543744,0.16888715847373703
504,504,25.1057664,0.2894406682252728
505,505,33.4743552,0.38980374547843594
506,506,40.3945344,0.41123582397534264
507,507,44.578828800000004,0.2961261776361729
508,508,45.38350080000001,0.08311487502253112
509,509,43.1304192,-0.08341621612606233
510,510,39.9117312,-0.11986250395443336
511,511,36.0493056,-0.13508562412890812
512,512,27.5197824,-0.26545292089664846
513,513,18.1855872,-0.21007133715258983
514,514,11.1044736,-0.10054081823986825
515,515,12.070079999999999,0.024225706302643667
516,516,17.863718400000003,0.13989605967435664
517,517,24.7838976,0.23578855041493935
518,518,32.0259456,0.3288783553481547
519,519,38.9461248,0.3948731750024906
520,520,43.613222400000005,0.3180185303258419
521,521,45.86630400000001,0.18073780942666468
522,522,45.38350080000001,-0.0022382139191628406
523,523,41.1992064,-0.16782462499712789
524,524,34.9227648,-0.22968145862528455
525,525,27.8416512,-0.21570027523196408
526,526,19.4730624,-0.19408033767104468
527,527,12.070079999999999,-0.11360260852588142
528,528,9.3341952,-0.02504288834637203
529,529,3.8624255999999995,-0.033544218562452724
530,530,1.9312127999999997,-0.0031852655646421356
531,531,3.0577536,0.007083027221367688
532,532,10.7826048,0.08552850665516967
533,533,18.990259200000004,0.1936839583061017
534,534,27.036979199999998,0.2942345803244724
535,535,34.9227648,0.38988111794931485
536,536,41.682009599999994,0.41755958379336816
537,537,44.578828800000004,0.21616554984836814
538,538,45.061632,0.06106248734130851
539,539,43.613222400000005,-0.04669775510843047
540,540,39.2679936,-0.1677130827077965
541,541,32.5087488,-0.23452310687147448
542,542,24.4620288,-0.22413173546182275
543,543,14.966899200000002,-0.18456830953982495
544,544,8.04672,-0.07684885460060528
545,545,4.6670976,-0.018480575668778636
546,546,3.8624255999999995,-0.0004731105937913073
547,547,13.518489599999999,0.13246085382301068
548,548,21.726144,0.22932824127331597
549,549,28.6463232,0.27890840833890707
550,550,35.72743680000001,0.3655364204609125
551,551,42.1648128,0.405461864287068
552,552,48.280319999999996,0.4504121597873456
553,553,47.9584512,0.007949253629419102
554,554,41.842944,-0.2627618849743711
555,555,34.2790272,-0.2798259272973432
556,556,26.0713728,-0.24232587796971267
557,557,18.346521600000003,-0.1675867764154948
558,558,10.621670400000001,-0.10908082466433056
559,559,4.1842944,-0.0452344123401658
560,560,0.0,-0.006739903500098425
561,561,0.0,0.0016345613706500353
562,562,0.0,0.0016345750258546048
563,563,0.0,0.0016345874017590922
564,564,0.0,0.0016345986200688493
565,565,0.0,0.0016346087909098446
566,566,0.0,0.0016346180139391543
567,567,0.0,0.0016346263793323532
568,568,0.48280319999999965,0.001928556113778213
569,569,10.2998016,0.08398586814051699
570,570,20.4386688,0.2451921479300208
571,571,30.899404799999996,0.42385424803027
572,572,38.3023872,0.41070483075341196
573,573,45.38350080000001,0.47818904508528204
574,574,56.1661056,0.8801383332667905
575,575,60.3504,0.4124688721997821
576,576,64.85656320000001,0.47658110833813794
577,577,72.42048000000001,0.856043661318167
578,578,80.3062656,1.0
579,579,83.04215040000001,0.4123549630734247
580,580,82.3984128,-0.004912426179751053
581,581,81.4328064,-0.03263865786125065
582,582,80.3062656,-0.04618880828647196
583,583,76.9266432,-0.22842085762277747
584,584,71.7767424,-0.35201272686280877
585,585,66.3049728,-0.3513018052021493
586,586,60.83320319999999,-0.3251059389049438
587,587,53.752089600000005,-0.38824968259958914
588,588,45.061632,-0.4170831263734809
589,589,38.1414528,-0.2777141375860543
590,590,30.255667199999998,-0.2627442433804933
591,591,20.760537600000003,-0.23843935775664538
592,592,9.9779328,-0.16401373449493728
593,593,3.5405568,-0.0411340578959384
594,594,0.0,-0.004266193917642334
595,595,0.0,0.0016335448792354434
596,596,0.0,0.001633687929633963
597,597,0.0,0.001633817410997508
598,598,0.0,0.0016339346106688955
599,599,0.0,0.0016340406941830045
600,600,0.0,0.001634136716743574
